,券商,買進,賣出,買超,均買價,均賣價,券商,買進,賣出,買超,均買價,均賣價
0,台灣摩根,1525.0,464.0,1061.0,104.99,104.68,台灣匯立,955.32,3108.0,-2152.68,104.92,104.86
1,瑞士信貸,856.0,92.0,764.0,105.05,105.0,美林,1921.0,3380.0,-1459.0,105.0,104.86
2,港商法興,446.0,6.0,440.0,105.0,105.0,美商高盛,731.0,1894.4,-1163.4,105.01,104.9
3,華南南京,414.06,12.11,401.95,104.99,105.04,凱基台北,474.0,1123.0,-649.0,105.0,104.94
4,統一,423.6,33.1,390.5,105.01,104.87,富邦,64.0,614.0,-550.0,105.1,104.76
5,國泰館前,321.3,20.18,301.12,104.53,105.02,港商野村,15.0,288.0,-273.0,105.0,105.0
6,國票內壢,248.0,2.0,246.0,105.0,105.0,摩根大通,1157.0,1426.0,-269.0,105.0,105.0
7,元大,640.93,396.64,244.3,105.16,104.93,瑞銀,986.0,1206.0,-220.0,104.92,104.87
8,元大草屯,242.01,5.0,237.01,104.82,105.0,元大台北,2.0,206.18,-204.18,105.25,104.99
9,康和,191.0,0.0,191.0,104.97,0.0,日盛文化,9.0,202.0,-193.0,105.0,105.0
10,兆豐南門,175.0,0.0,175.0,104.83,0.0,宏遠,74.16,211.0,-136.84,104.99,105.24
11,國泰綜合,173.3,0.0,173.3,105.02,105.0,永豐金,243.32,364.2,-120.89,104.82,105.0
12,玉山,185.85,20.0,165.85,105.13,105.0,上海匯豐,11.0,128.0,-117.0,105.0,104.63
13,新光,314.69,177.35,137.34,104.8,104.99,臺銀臺中,11.68,105.11,-93.43,104.61,105.0
14,元大中壢,138.02,9.12,128.9,105.0,105.0,元大內湖,25.1,108.03,-82.93,104.96,105.0
15,土銀台中,135.0,10.0,125.0,104.51,105.0,富邦建國,21.18,102.42,-81.24,104.72,105.0
16,兆豐桃園,115.0,2.0,113.0,105.0,105.0,臺銀,15.3,88.23,-72.93,104.87,105.01
17,永豐嘉義,111.0,11.0,100.0,105.0,105.0,群益東湖,0.0,66.0,-66.0,0.0,105.0
18,安泰,101.0,2.0,99.0,105.07,105.0,元大中和,0.25,52.0,-51.75,105.0,105.0
19,第一忠孝,103.0,4.3,98.7,105.0,105.0,元大華山,0.02,50.0,-49.98,105.0,105.0
20,凱基高美,112.65,17.02,95.63,105.0,105.0,華南潮州,8.05,50.0,-41.95,104.69,104.52
21,元富,100.05,7.0,93.05,105.0,104.86,群益竹南,2.0,41.04,-39.04,105.0,104.96
22,元大花蓮,100.04,8.4,91.64,105.31,105.0,法銀巴黎,42.0,80.0,-38.0,105.0,105.0
23,富邦岡山,101.0,10.1,90.9,104.5,104.5,凱基中山,1.0,34.1,-33.1,105.0,105.0
24,國泰敦南,169.55,78.75,90.8,104.93,104.96,統一敦南,9.0,42.0,-33.0,104.78,105.05
25,群益延平,91.0,1.0,90.0,105.01,105.0,富邦新竹,24.52,56.76,-32.25,105.06,105.0
26,兆豐,89.01,2.0,87.01,104.54,105.0,元大屏南,17.05,48.0,-30.95,104.71,105.0
